name,macro,index
"Sport Workflow Series (""Association Football Club explorative search"")",0,0
"Sport Workflow Series (Basketball and NBA finals explorative search"")",0,1
"Sport Workflow Series (""Running explorative search"")",0,2
"Sport Workflow Series (Basketball and NBA seasons explorative search"")",0,3
"Sport Workflow Series (Tennis explorative search"")",0,4
"Sport Workflow Series (""Olympic Games explorative search"")",0,5
"Sport Workflow Series (""Association Football Players explorative search"")",0,6
"History Workflow Series (""Literary Movements and physicists explorative search"")",1,0
"History Workflow Series (""Euro explorative search"")",1,1
"History Workflow Series (""World Wide Web"")",1,2
"History Workflow Series (""Literary Movements and Divine Comedy explorative search"")",1,3
"History Workflow Series (""Ancient Civilization explorative search"")",1,4
"History Workflow Series (""Ancient Rome explorative search"")",1,5
"History Workflow Series (""Cultural Movements explorative search"")",1,6
"Movie Workflow Series (""Film Genre and directors explorative search"")",2,0
"Movie Workflow Series (""Sherlock Holmes explorative search"")",2,1
"Movie Workflow Series (""Disney explorative search"")",2,2
"Movie Workflow Series (""Tv series Without a Trace explorative search"")",2,3
"Movie Workflow Series (""Tv series HIMYM explorative search"")",2,4
"Movie Workflow Series (""Film Genre and composer explorative search"")",2,5
"Movie Workflow Series (""Production company explorative search"")",2,6
