name,macro,index
"GEO Workflow Series (""archaeological sites"")",0,0
"GEO Workflow Series (""European Cathedrals"")",0,1
"GEO Workflow Series (""Place of Birth, Death, and Burial"")",0,2
"GEO Workflow Series (""American Architects"")",0,3
"Sport Workflow Series (""F1 pilots explorative search"")",1,0
"Sport Workflow Series (""World Records explorative search"")",1,1
"Sport Workflow Series (""Olympic explorative search"")",1,2
"Sport Workflow Series (""FIFA World Cup events explorative search"")",1,3
"Book Workflow Series (""Nobel laureates explorative search"")",2,0
"Book Workflow Series (""Political Magazines explorative search"")",2,1
"Book Workflow Series (""Authors comparison explorative search"")",2,2
"Book Workflow Series (""Author comparison explorative search"")",2,3
"Politics Workflow Series (""Presidents of countries"")",3,0
"Politics Workflow Series (""International Treaties"")",3,1
"Politics Workflow Series (""Politicians in E.U."")",3,2
"Politics Workflow Series (""Monarchies"")",3,3
"Companies Workflow Series (""IT Companies explorative search"")",4,0
"Companies Workflow Series (""Business People in Germany"")",4,1
"Companies Workflow Series (""Economy of EU States"")",4,2
"Companies Workflow Series (""Trademarks across the world"")",4,3
"Movie Workflow Series (""Directors explorative search"")",5,0
"Movie Workflow Series (""The Batman movies explorative search"")",5,1
"Movie Workflow Series (""Horror Franchises explorative search"")",5,2
"Movie Workflow Series (""Tv series explorative search"")",5,3
